Time,target_send_rate,increase_size_bytes,total_file_size_bytes,total_dir_size_bytes
308.0000,52.0500,770991.7248,135992835.5460,135992835.5460
309.0000,81.9700,1254012.3048,137246847.8508,137246847.8508
310.0000,31.4300,438107.8890,137684955.7398,137684955.7398
311.0000,49.8400,735314.0682,138420269.8080,138420269.8080
312.0000,37.3400,533517.3684,138953787.1764,138953787.1764
313.0000,45.1500,659599.9464,139613387.1228,139613387.1228
314.0000,52.0700,771314.5992,140384701.7220,140384701.7220
315.0000,53.6200,796337.3904,141181039.1124,141181039.1124
316.0000,50.1500,740318.6262,141921357.7386,141921357.7386
317.0000,49.0100,721914.7674,142643272.5060,142643272.5060
318.0000,54.7900,815225.5614,143458498.0674,143458498.0674
319.0000,60.4300,906276.2322,144364774.2996,144364774.2996
320.0000,63.8400,961326.3720,145326100.6716,145326100.6716
321.0000,52.7200,781808.0280,146107908.6996,146107908.6996
322.0000,33.0100,463614.9918,146571523.6914,146571523.6914
323.0000,38.8100,557248.6602,147128772.3516,147128772.3516
324.0000,47.9800,705286.7190,147834059.0706,147834059.0706
325.0000,51.1000,755655.1752,148589714.2458,148589714.2458
326.0000,41.3600,598415.1870,149188129.4328,149188129.4328
327.0000,48.4200,712389.9630,149900519.3958,149900519.3958
328.0000,62.7400,943568.2620,150844087.6578,150844087.6578
329.0000,61.7600,927747.4008,151771835.0586,151771835.0586
330.0000,50.7000,749197.6812,152521032.7398,152521032.7398
331.0000,44.0700,642164.7114,153163197.4512,153163197.4512
332.0000,64.6400,974241.3606,154137438.8118,154137438.8118
333.0000,53.4700,793915.8300,154931354.6418,154931354.6418
334.0000,27.0200,366914.0130,155298268.6548,155298268.6548
335.0000,59.2000,886419.4368,156184688.0916,156184688.0916
336.0000,44.5900,650559.4542,156835247.5458,156835247.5458
337.0000,59.4800,890939.6832,157726187.2290,157726187.2290
338.0000,37.9600,543526.4850,158269713.7140,158269713.7140
339.0000,54.7300,814256.9370,159083970.6510,159083970.6510
340.0000,26.9600,365945.3892,159449916.0402,159449916.0402
341.0000,28.4700,390322.4304,159840238.4706,159840238.4706
342.0000,73.6800,1120180.7340,160960419.2046,160960419.2046
343.0000,44.4200,647815.0194,161608234.2240,161608234.2240
344.0000,41.7300,604388.3694,162212622.5934,162212622.5934
345.0000,58.2800,871567.2000,163084189.7934,163084189.7934
346.0000,79.4600,1213491.5280,164297681.3214,164297681.3214
347.0000,43.6600,635545.7796,164933227.1010,164933227.1010
348.0000,23.3300,307343.6274,165240570.7284,165240570.7284
349.0000,57.0200,851226.0924,166091796.8208,166091796.8208
350.0000,68.6900,1039623.4914,167131420.3122,167131420.3122
351.0000,46.2700,677680.9308,167809101.2430,167809101.2430
352.0000,46.1200,675259.3704,168484360.6134,168484360.6134
353.0000,77.1500,1176199.4976,169660560.1110,169660560.1110
354.0000,38.5900,553697.0382,170214257.1492,170214257.1492
355.0000,42.4000,615204.6726,170829461.8218,170829461.8218
356.0000,65.4800,987802.0986,171817263.9204,171817263.9204
357.0000,39.7400,572262.3348,172389526.2552,172389526.2552
358.0000,33.6400,473785.5456,172863311.8008,172863311.8008
359.0000,70.8600,1074655.3986,173937967.1994,173937967.1994
360.0000,66.9700,1011856.2654,174949823.4648,174949823.4648
